ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
80013,13.73,19.71,32.55,5.98,12.839999999999996,18.819999999999997,32.71,28.26
80014,4.46,10.79,24.5,6.329999999999999,13.71,20.04,25.86,17.86
80015,11.54,14.05,27.02,2.5100000000000016,12.969999999999999,15.48,33.78,29.58
80016,14.46,16.46,34.87,2.0,18.409999999999997,20.409999999999997,36.18,19.16
80017,6.23,13.78,31.6,7.549999999999999,17.82,25.37,39.09,27.52
80018,37.82,43.54,46.29,5.719999999999999,2.75,8.469999999999999,46.48,22.81
80019,46.91,51.15,52.12,4.240000000000002,0.9699999999999989,5.210000000000001,50.0,29.55
80020,22.97,21.75,58.02,-1.2199999999999989,36.27,35.050000000000004,45.77,23.88
80021,10.63,16.93,29.05,6.299999999999999,12.120000000000001,18.42,34.26,22.0
80022,8.82,17.86,29.95,9.04,12.09,21.13,34.04,18.08
80023,19.01,17.45,54.47,-1.5600000000000023,37.019999999999996,35.459999999999994,43.1,21.74
80024,8.6,18.01,36.68,9.410000000000002,18.669999999999998,28.08,34.81,24.14
80025,11.43,18.62,34.44,7.190000000000001,15.819999999999997,23.009999999999998,38.42,12.96
80026,13.37,26.29,31.02,12.92,4.73,17.65,45.73,25.93
80027,30.8,34.35,17.84,3.5500000000000007,-16.51,-12.96,42.72,26.03
80028,29.53,34.96,17.76,5.43,-17.2,-11.77,47.9,23.33
80030,45.64,47.91,27.02,2.269999999999996,-20.889999999999997,-18.62,46.62,17.98
80031,37.34,40.23,26.4,2.8899999999999935,-13.829999999999998,-10.940000000000005,42.35,19.08
80032,45.11,46.27,29.12,1.1600000000000037,-17.150000000000002,-15.989999999999998,41.11,17.5
80034,30.2,35.88,18.73,5.680000000000003,-17.150000000000002,-11.469999999999999,43.4,20.0
80035,34.92,45.4,22.87,10.479999999999997,-22.529999999999998,-12.05,40.0,24.24
80036,22.47,25.53,17.03,3.0600000000000023,-8.5,-5.439999999999998,39.38,27.56
