ElectDist,african21p,afam21p,fb21wafp,fb21nafp
23082,0.0,0.0,0.0,0.0
23084,0.00024316358498622327,-0.11598965075319488,0.15206876252642715,0.13468945958632392
23085,1.0376868911124309e-07,1.2512458031983384,1.098281746067901e-07,4.84758839643763e-08
23087,0.5294228608269336,6.969508254549351,0.1802290590049135,0.0
23088,0.03877093256180011,1.6695732834425174,0.0,0.06057958212781267
23089,0.0,1.3727634760183602,2.5633567569382015e-09,1.602097973086376e-09
23090,0.0,0.0502585821961989,0.0022142603280309366,0.001961202004827401
23091,0.0,-0.9827302615342902,0.42117009915182174,0.6177161514712497
23093,0.0,0.842016473912002,0.006478257509898425,0.00573788522305289
24001,0.0,5.859808260294637,0.011486409105001654,0.005301419586923841
24002,0.0,0.097808596444064,0.050449140132906994,0.02426276906334659
24003,0.0,0.6332914421028785,0.02584695422991566,0.0028718838033239577
24004,0.0,0.5006553152806065,0.010978983089478093,0.0012198873243915106
24005,0.0,0.08793616433218923,0.0,0.03585746062790188
24006,0.0,-0.20521683036133995,0.2404364048232011,2.967719165836738e-11
24007,0.0,0.2345092823250966,0.22353178863763917,0.009271154577663499
24010,0.0,1.9145876353647928,0.0,0.0
24011,0.02207609224904533,1.6170028459708412,0.0,0.0
24012,0.0065268552376448715,0.4307724456845617,0.0,0.0
24013,0.06617993152946049,4.367901155392609,2.1994827150517964e-05,0.0
24014,0.028855199097124334,1.9044431515501536,0.0,0.0
24015,0.0,3.398609094795644,0.007532400433966169,0.021703245982507217
24016,0.023358470563144572,0.5900990808121697,0.023358470563144572,0.04197628618012646
24017,0.0,1.345781285630414,0.0,0.6061152349917436
24018,0.029880219703390644,0.1792813259546375,0.029880219703390644,0.0
24019,0.05776110193590177,0.3465666116154107,0.05776110193590177,0.0
24020,0.0,0.7987069986126173,0.0,0.32623271204904886
24021,4.345426593575227e-10,0.2626728945744892,4.345426593575227e-10,0.06406655901639835
24022,0.02395477567384712,0.5278019260011124,0.02395477567384712,0.09367640779464138
24023,0.0,0.2688433540505537,0.0,0.12108212128994406
24024,1.4526189456489125e-09,0.43363266314764093,1.4526189456489125e-09,0.0
24025,0.009848778061369525,1.1659016802675561,0.012052195825297466,0.01969761706046827
24026,0.0,8.848296421617103,0.0,0.0
24027,0.0,14.59772422972079,0.4642446135350532,0.0
24028,0.6400649873008366,6.486604170413124,0.08267125285657724,0.641793689832179
24029,0.10658805943440311,5.108051111981563,0.14557464499222603,0.0
24030,0.5422144538275753,2.6960107684134638,0.0,1.0829081659911532e-08
24031,0.6303860319539861,3.1344195853642662,0.0,6.670180113938332e-08
24032,0.0,0.1651731037259201,1.0795239964178538,0.06488945407958549
24033,0.0,0.3822354433464911,2.4981809461592883,0.15016392742086787
24034,0.007136435540186933,0.5671600931687373,1.9188614781176807,0.18218000625493297
24035,1.3832411845231876,14.255260585275401,2.074242046473766,3.040901570930513
24036,0.03297305514686015,0.8518038952262297,0.18684730698219404,6.902241140978784e-10
