ElectDist,cvap
25040,1219.7383254579443
25041,1464.7223084750162
25042,1020.0877665997286
25043,1582.4172977977787
25044,1017.7027028707778
25045,742.8682645033027
25046,1169.4427171188627
25047,994.7626456559648
25048,854.8958339375703
25049,816.9749546349049
25051,1040.6484462851338
25055,790.8588417519907
25056,1408.8995569136398
25057,1169.448585897684
25058,2429.14455128047
25059,1744.1201510878652
25060,1482.3978842627257
25061,1441.2029978858432
25062,3979.9321666262144
25063,997.7149351967888
25065,1077.8611086308956
25066,53.59228698536754
25067,40.92466525038471
25068,533.3264081199518
25069,1068.0295189768076
25070,650.031098773703
25071,949.8565615266562
25072,911.8792273811996
25073,761.8975477516651
25074,2404.9570764896216
25075,906.1794509254396
25076,729.9623913848438
25077,460.22567426713323
25078,549.438866622746
25079,498.14753802120686
26001,457.3246377315372
26002,575.5768089145422
26003,2134.8328983345423
26004,1170.3728920867256
26005,1534.700322341454
26006,1356.0242167047238
26007,1347.927210108018
26008,1167.0999654202928
26009,1698.9120153500699
26010,1045.6731915623889
26011,1179.91996295657
26012,974.5339905694127
26013,1381.1496420651674
26014,1776.6178116202354
26015,569.5792958319754
26016,1047.850667173043
26017,1051.8022098352328
26018,2328.419998213649
26019,607.7737625791924
26020,1454.3221016824245
26021,875.1460056900978
26022,1466.7075578897877
26023,992.8434980213642
26024,676.3308872357011
26025,1433.0086757660426
26026,1338.8945466391742
26027,2064.792582696782
26028,1466.1429083809537
26029,1134.1869366720161
26031,1168.448882818222
26033,1255.0606158077717
26034,1223.038567751646
26035,1318.0125980377197
26036,619.5001121959649
26037,1343.1577940817488
26038,199.40926079452038
26039,395.3092062678188
26040,1496.7892837821332
26041,214.55843625522755
26042,1160.9916580290721
26043,643.460940644145
26044,384.87980791926384
26045,735.8684339453313
26046,1032.2750511094928
26047,924.0705299377441
26048,2211.852529737167
26049,1209.9948483551852
26050,1357.07687060696
26051,1143.0324909505798
26052,1210.4729383071735
26053,1513.9133237456022
26054,1051.2644536583837
26055,1371.229371137917
26056,1478.818166761848
26057,840.8540838360786
26058,1279.8454247683765
26059,1318.0830708049725
26060,894.7009401390942
26061,1542.8487807710392
26062,1114.7674875555192
26063,1411.5095691573586
26064,1071.0334293724384
26065,752.0487906932831
26066,1176.9976144954562
26067,960.5131901101241
26068,1542.0340494278983
26069,599.393515214324
26070,1309.8554336726665
26071,532.8884848728776
26072,1660.689083157198
26073,1351.4869672733985
26074,1664.3964959424395
26075,1481.7039262677235
26076,1042.1728352308273
26078,0.6973677780479193
26079,1072.325734853165
26080,1310.781629061265
26081,1015.2363096532702
26082,536.2155195474625
26083,1136.6195008120342
26084,215.26059924066067
26085,875.1262920623134
27001,1497.090830876254
27002,816.6595745109158
27003,776.5415307283401
27004,498.30773032340284
27005,1161.8604855348751
27007,733.5815122612421
27009,1713.960256425054
27010,398.5374386906624
27011,1046.644011132607
27012,912.055522208419
27014,588.6406774418429
27016,1660.2293191105127
27018,264.75072272416725
27019,1341.1482780575752
27020,1179.5760595649579
27022,1262.6569351310504
27023,1379.897350303218
27025,1087.2172400872223
27026,1182.5812159384298
27027,386.06122352744836
27028,1048.6287137120962
27029,912.9620693027973
27030,1224.399704085663
27031,143.23903299458027
27032,249.1699977935022
27033,128.7440078971186
27034,1162.473314680159
27035,1281.612648603615
27036,725.2117453730672
27037,1086.640552058816
27038,813.1919454624876
27039,912.6362887509167
27040,689.0458001233637
27041,546.3268910794211
27042,899.4506345912814
27043,310.9942742958665
27044,569.09711862728
27046,2315.7122738083085
27047,757.8395069538428
27048,1475.6742618645726
27049,656.1161574230279
27050,1089.3294891504752
27051,1487.8067932195784
27052,947.636187762022
27053,1281.3808939009905
27056,597.8054462229132
27057,882.290226453466
27059,762.7239308673888
27060,1914.0974321112742
27061,1045.1217389414808
27062,1470.3665855154395
27063,1938.4166148900986
27064,2375.1176833063364
27065,1332.2511126605375
27066,2129.0766907158736
27067,933.8107310351256
27068,1082.0875438153744
27069,46.946518145501614
27070,4.282313576098318e-05
27072,2.7899721896318397e-05
27073,0.0
27075,0.0
27078,6.540680290432647
27079,1053.502292573452
27080,830.5000938028097
27081,1180.94727820158
27082,683.5817471143588
27083,1328.2089790189248
27084,1339.178520724643
27085,906.9285523940007
27086,1043.5320950746536
27087,958.2801199145615
27088,469.378473255125
27089,551.0881515592337
28001,844.3023378252983
28002,696.4279228150845
28003,1522.9638302475214
28004,697.8103540582575
28005,660.4035632836832
28006,2264.5224426984787
28007,506.36044946312904
28008,736.6871221371232
28009,849.0319337099791
28010,2095.7959183630173
28011,726.5167329248645
28012,1244.0716382393255
28013,81.92327375340169
28014,432.55206763744354
28016,1486.1364110325414
28017,723.5632253885269
28018,1263.3025119629312
28019,1050.8002962791195
28020,1447.7218644960997
28021,845.7982260882854
28022,1370.3045578562055
28023,1210.582801574678
28024,665.7894096750315
28025,718.634634594675
28026,264.6845391168624
28027,677.0295141198505
28028,388.18368752966956
28029,508.2362866995374
28030,484.5479187294841
28031,1274.9119264851795
28032,1307.7547848820686
28033,185.0094569792729
28034,292.48743146657944
28035,1321.2220397353542
28036,1586.1159992218018
28037,703.1663518920541
28038,1057.1474416227998
28039,809.5713119506836
28040,922.2435742095113
28041,1958.3412455916657
28042,1130.3654208034277
28043,1109.943322433336
28044,843.2942034322768
28045,494.1503263155354
28046,712.5071985234831
28047,1481.078379308298
28048,1240.331444997423
28049,1192.4651873902567
28050,1267.987111446117
28051,1086.4334869903307
28052,1132.1910587791353
28053,758.5302575626268
28054,1332.2853686073636
28055,1084.784281415701
28056,2139.38966234107
28057,1115.4985949778197
28058,381.0519450862988
28059,1087.584674462676
28060,800.0853690551594
28061,1142.9542189608949
28062,771.7124146187891
28063,1681.9937905073166
28064,893.0151534080505
28065,1457.7365335538202
28066,1286.3686392825937
28067,1304.7006160318851
28068,1473.5338036770765
28069,1222.9890349805355
28070,921.5009184381232
28071,1251.1223399368932
28072,1878.0522359894276
28073,1943.6923216677426
28074,1354.17769640374
28075,1486.375232148127
28076,1586.1497594475204
28078,1706.0700636214744
28079,0.0
28080,362.78991051282134
28081,804.2142015814685
28082,1030.1034550071715
28083,1141.921899497509
28084,522.346108642555
28085,1017.0226858668029
28086,1029.1701555764782
28087,853.3286420622651
28088,902.2793781050402
28089,1088.367657750845
29001,1073.906626216819
29002,735.6718383890332
29003,435.4143033772707
29004,439.8111122735167
29005,950.0415235254127
29006,518.7188117805854
29007,188.37321968587932
29008,166.5270110718423
29009,1306.4935209318835
29010,1493.1001237457274
29011,1211.640869489901
29012,1532.9203323489373
29013,1099.0002840580312
29014,1564.8077914397768
29015,1069.7638003539746
29016,1571.1004737934345
29017,699.5715219303966
29018,2438.398110561092
29019,1515.0156814493516
29020,1014.3739302031191
29022,1004.0052004531108
29023,984.0360985100269
29024,1184.9697199774064
29025,1187.5894853174686
29026,1550.9224502137117
29027,1118.0339572713478
29028,1400.9412878801986
29029,1573.1569082990202
29030,1346.7608431783062
29031,1000.2903776593705
29032,1748.2374983538566
29033,1134.1029437957995
29034,1279.1376777024375
29035,1131.8939750623038
29036,755.8414529273634
29037,1089.8057362595443
29038,1192.7946420013905
29039,1346.4916791779783
29041,1217.263893635846
29042,1331.683580783613
29043,1271.813644732363
29044,1077.0878748499904
29045,1232.3430872696817
29046,1097.4327144064205
29047,1025.2362440675497
29048,1218.9242023415864
29049,1304.8527645170689
29050,1495.0113378763199
29051,1166.0236053549374
29052,1199.7820086324487
29053,960.0096680500885
29054,1384.1568257957697
29055,1375.325150180608
29056,1344.5087308370748
29057,1345.2076710193155
29058,1265.8878647983074
29059,797.7783365398645
29060,1236.4728360180436
29061,1219.2811315220545
29062,1398.247757146135
29063,1193.3410248885643
29064,1342.0098857674748
29065,1299.0424321922449
29070,1593.257364762523
29071,1108.397078961134
29072,1168.5228406771998
29073,424.5694122758243
29074,1342.8987355463455
29075,1063.8159860530723
29076,1192.7085177494853
29077,958.9453924968839
29078,889.4884160608053
29079,1222.0536877512932
30001,889.29825079693
30002,691.7165458202362
30003,121.52777615189552
30004,1684.9684644424453
30005,1365.7723608613014
30006,1322.3722384684454
30007,1434.4722430643765
30008,1288.3615349661873
30009,1524.7121773382783
30010,1406.4945227344263
30012,1224.8624247900377
30014,1327.5519676225902
30016,1551.764005460076
30017,1624.3223774351363
30018,1088.4760677184868
30019,111.34620796144009
30020,862.322573515761
30021,1224.6872173592833
30022,1469.3200067318976
30023,1096.3589990118794
30025,1281.5481974648342
30026,1383.7417282648385
30028,125.7733143933306
30029,22.352500695426812
30030,1482.6819520811016
30031,987.9824524819145
30032,327.98190365731716
30033,220.41405075579834
30034,175.697259508841
30035,52.5653600692749
30036,526.7661217153072
30038,1111.0770628377795
30039,619.6250306592756
30040,823.5335962772369
30041,180.15487862098962
30042,1410.7207226871978
30043,824.035569646695
30044,844.6335573494434
30045,1374.2174261987484
30046,1379.8085371193852
30047,701.2725672586607
30048,879.4838995477446
30049,579.0173000842333
30051,722.7731273248792
30052,1228.511900771055
30053,1213.1966964171154
30054,215.6447515040636
30055,1558.192490648011
30056,1141.8600527575313
30057,470.87866947054863
30058,1499.1538413150365
30059,841.1508248969913
30060,1573.247677634662
30061,395.11946498806356
30063,568.2442950353814
30064,706.6543654203415
30065,666.776665225625
30066,678.0539505806488
30067,1923.7388296307067
30068,643.2264683807973
30069,1202.744928699506
30071,26.884343940764666
30072,0.0
30075,505.0807261318988
30076,1406.2785819768906
30077,1149.738290699841
30078,1035.9188610042427
30079,1010.7396944421326
30080,356.2850317955017
30081,801.788208860904
30082,392.5067326426506
31001,838.7397287805782
31003,1706.3756689831887
31004,1373.8458478846742
31005,1710.8389941900969
31006,121.06691210887425
31007,1762.7374584737645
31008,1404.5026471095214
31009,1437.1082132996592
31010,1487.9397667560006
31011,1339.4854908393897
31012,1638.0033556342416
31013,1468.4328371919692
31014,1082.1148318815744
31015,1339.6211188625678
31016,1161.3224702893679
31017,1464.69071246832
31018,1643.9723313864665
31021,502.72683797032016
31022,1536.3342028653994
31023,1461.8302148282528
31024,1587.6864283326008
31025,1560.7007485244494
31026,1386.78963111341
31027,1226.7468112800495
31028,1232.8093979656696
31029,896.047137260437
31030,90.8303189240396
31031,154.34017655998468
31032,721.4041491895914
31033,1124.9052197933197
31034,711.4451308295934
31036,946.8192299307588
31038,1663.4566026180983
31039,1328.6756454033489
31040,1113.8507466316223
31041,1379.8187279105186
31042,1382.4441578842216
31043,841.4784772659424
31044,689.8849606741634
31045,496.17103213301505
31046,1650.5304232069452
31047,586.9969381916915
31048,2096.2596549391747
31049,1919.6196232022942
31050,506.49822664260864
31051,1368.6471465877466
31052,1770.5475545227528
31053,999.5056070648134
31054,1049.4909550492705
31055,1940.5956778162426
31056,1644.1157799167459
31057,1238.678632163955
31058,684.5820770065881
31059,1557.411892041564
31060,70.34123425179132
31061,867.4893323777009
31062,827.4939451280427
31063,864.8631892204285
31064,279.76754023320973
31065,2.140845658615831e-05
31066,226.70401767431983
31067,4.502155775081536e-05
31068,8.220819870890063e-13
31069,0.0
31070,151.93179656380804
31071,307.4332570183945
31072,24.24368133349344
31073,217.20085712371232
31076,0.00011702786322231873
31077,12.06962073776925
31078,1374.545808903873
31079,1278.8835033381017
31081,1439.7614521780765
31082,1657.471687598621
31083,760.7736453961725
31084,999.8422415554523
31085,784.6853140970105
31086,1040.7624114528298
32001,1415.9229426383972
32002,146.81674353033304
32003,894.4965074895744
32004,1418.3285977983053
32005,1251.6081135079946
32006,871.814025268872
32007,222.7495450555789
32008,305.0189247706964
32009,357.1729705875404
32010,359.1909915965246
32011,802.2437256807972
32012,158.73563504107807
32014,1203.9488270282745
32015,1031.8171906471252
32016,1192.2550285435689
32017,1069.9071446678277
32019,1203.8195763697342
32020,1368.2884462827171
32021,1063.360969793274
32022,1023.4648717045784
32023,995.6080293357372
32024,731.0829811096191
32025,1634.1787347312988
32026,1089.9175307750702
32027,1358.8185430819167
32028,1328.2096283882856
32029,1220.9543906599283
32030,1265.031992599368
32031,1684.2084787358122
32032,1707.0364288128912
32033,1967.8742621836263
32034,1094.0731352928499
32035,1346.676644152845
32036,1147.880862821203
32037,952.7682039233899
32038,1035.2381725494417
32039,1081.4232483624842
32040,1426.927000015974
32041,1423.0692442247696
32042,1326.0521967898876
32043,1126.5483318567276
32044,648.2530637085438
32045,1186.7336568848534
32046,776.0907841051094
32047,914.3920354394252
32048,1027.9079439927436
32050,1353.6863549044003
32051,1522.7333549101083
32052,1407.432243773936
32053,1048.5316993289816
32055,919.9472366073697
32057,1098.0396787122454
32058,918.9727862328291
32059,972.6948401272829
32060,1512.0983434915543
32061,956.0542866587639
